strategy,run_id,map_seed,timestep,coverage,total_distance,sensing_redundancy,visit_overlap,num_clusters,num_active_drones,exploration_efficiency,mean_pairwise_distance,movement_efficiency,nodes_expanded
hungarian_high_ig,1,1,1,0.32,5,71.42857142857143,0.0,0,0,1.0,1.3478708664619075,1.0,0
hungarian_high_ig,1,1,2,0.37,10,83.10502283105022,0.0,2,2,0.7,2.042366870536343,0.7,321
hungarian_high_ig,1,1,3,0.43,15,86.72839506172839,9.090909090909092,3,2,0.6666666666666666,3.0039343260139546,0.6666666666666666,698
hungarian_high_ig,1,1,4,0.51,20,88.05620608899297,25.0,2,1,0.6,3.74114372396762,0.6,863
hungarian_high_ig,1,1,5,0.59,25,88.88888888888889,33.33333333333333,2,1,0.56,4.319384749424554,0.56,1008
hungarian_high_ig,1,1,6,0.6799999999999999,30,89.30817610062893,38.46153846153847,2,1,0.5333333333333333,5.093863777499327,0.5333333333333333,1008
hungarian_high_ig,1,1,7,0.7799999999999999,35,89.54423592493298,41.935483870967744,3,1,0.5142857142857142,5.6835112549649,0.5142857142857142,1199
hungarian_high_ig,1,1,8,0.84,40,90.18691588785047,37.142857142857146,2,2,0.55,5.980607720419117,0.55,1862
hungarian_high_ig,1,1,9,0.9199999999999999,45,90.47619047619048,33.33333333333333,2,2,0.5777777777777777,6.600423818946427,0.5777777777777777,1862
hungarian_high_ig,1,1,10,1.03,50,90.48059149722735,32.55813953488372,3,3,0.58,6.982684197896626,0.58,3054
hungarian_high_ig,1,1,11,1.1400000000000001,55,90.60181368507831,29.166666666666668,3,3,0.6181818181818182,6.69887900385348,0.6181818181818182,3054
hungarian_high_ig,1,1,12,1.26,60,90.63893016344726,28.30188679245283,3,3,0.6333333333333333,6.976428937906315,0.6333333333333333,3054
hungarian_high_ig,1,1,13,1.3599999999999999,65,90.80459770114942,28.07017543859649,2,2,0.6307692307692307,7.483835918729319,0.6307692307692307,4119
hungarian_high_ig,1,1,14,1.5,70,90.72356215213358,27.419354838709676,3,1,0.6428571428571429,7.561435139794445,0.6428571428571429,4506
hungarian_high_ig,1,1,15,1.6500000000000001,75,90.5982905982906,28.35820895522388,3,1,0.64,8.38352400273986,0.64,4506
hungarian_high_ig,1,1,16,1.81,80,90.41313559322035,29.166666666666668,4,2,0.6375,8.997834897799034,0.6375,5532
hungarian_high_ig,1,1,17,1.95,85,90.34653465346535,29.87012987012987,3,1,0.6352941176470588,10.01282402654802,0.6352941176470588,6314
hungarian_high_ig,1,1,18,2.11,90,90.19516728624535,29.268292682926827,3,1,0.6444444444444445,10.757217707098631,0.6444444444444445,6314
hungarian_high_ig,1,1,19,2.23,95,90.21500658183413,29.88505747126437,3,2,0.6421052631578947,11.697655999240046,0.6421052631578947,7081
hungarian_high_ig,1,1,20,2.37,100,90.14962593516209,30.434782608695656,4,1,0.64,12.476782651729659,0.64,8588
hungarian_high_ig,1,1,21,2.52,105,90.05132254243979,30.927835051546392,4,1,0.638095238095238,13.268321143137356,0.638095238095238,8588
hungarian_high_ig,1,1,22,2.63,110,90.11278195488723,31.0,1,1,0.6272727272727273,13.525444548706503,0.6272727272727273,13348
hungarian_high_ig,1,1,23,2.79,115,90.00716332378224,30.76923076923077,2,2,0.6260869565217392,13.688268083494691,0.6260869565217392,16192
hungarian_high_ig,1,1,24,2.98,120,89.8119658119658,30.275229357798167,5,1,0.6333333333333333,13.937706678060806,0.6333333333333333,18533
hungarian_high_ig,1,1,25,3.11,125,89.83327884929716,30.08849557522124,5,1,0.632,13.831002979839855,0.632,19807
hungarian_high_ig,1,1,26,3.19,130,90.0093955527717,29.914529914529915,4,2,0.6307692307692307,14.068162307634868,0.6307692307692307,21988
hungarian_high_ig,1,1,27,3.27,135,90.17132551848512,28.92561983471074,4,2,0.6370370370370371,13.876076666537367,0.6370370370370371,21988
hungarian_high_ig,1,1,28,3.37,140,90.26011560693642,27.77777777777778,4,2,0.65,14.481206138840188,0.65,21988
hungarian_high_ig,1,1,29,3.4799999999999995,145,90.3010033444816,26.717557251908396,7,2,0.6620689655172414,14.953595242190664,0.6620689655172414,25943
hungarian_high_ig,1,1,30,3.61,150,90.28525296017223,25.735294117647058,7,2,0.6733333333333333,15.505370879561777,0.6733333333333333,25943
